instance,n,error,algo,time_ms,gap
sorting_near_sorted_1.json,1000,0.02,A,0.5,0.0
sorting_near_sorted_1.json,1000,0.02,B,0.63,0.0
sorting_near_sorted_1.json,1000,0.02,C,0.06,0.0
sorting_near_sorted_10.json,100000,0.02,A,73.33,0.0
sorting_near_sorted_10.json,100000,0.02,B,84.87,0.0
sorting_near_sorted_10.json,100000,0.02,C,5.2,0.0
sorting_near_sorted_11.json,100000,0.05,A,73.94,0.0
sorting_near_sorted_11.json,100000,0.05,B,108.13,0.0
sorting_near_sorted_11.json,100000,0.05,C,6.65,0.0
sorting_near_sorted_12.json,100000,0.1,A,98.36,0.0
sorting_near_sorted_12.json,100000,0.1,B,93.95,0.0
sorting_near_sorted_12.json,100000,0.1,C,7.72,0.0
sorting_near_sorted_13.json,500000,0.02,A,427.72,0.0
sorting_near_sorted_13.json,500000,0.02,B,464.7,0.0
sorting_near_sorted_13.json,500000,0.02,C,27.4,0.0
sorting_near_sorted_14.json,500000,0.05,A,418.62,0.0
sorting_near_sorted_14.json,500000,0.05,B,470.45,0.0
sorting_near_sorted_14.json,500000,0.05,C,31.03,0.0
sorting_near_sorted_15.json,500000,0.1,A,438.49,0.0
sorting_near_sorted_15.json,500000,0.1,B,468.0,0.0
sorting_near_sorted_15.json,500000,0.1,C,35.94,0.0
sorting_near_sorted_2.json,1000,0.05,A,0.53,0.0
sorting_near_sorted_2.json,1000,0.05,B,0.58,0.0
sorting_near_sorted_2.json,1000,0.05,C,0.07,0.0
sorting_near_sorted_3.json,1000,0.1,A,0.54,0.0
sorting_near_sorted_3.json,1000,0.1,B,0.61,0.0
sorting_near_sorted_3.json,1000,0.1,C,0.08,0.0
sorting_near_sorted_4.json,5000,0.02,A,2.95,0.0
sorting_near_sorted_4.json,5000,0.02,B,3.19,0.0
sorting_near_sorted_4.json,5000,0.02,C,0.28,0.0
sorting_near_sorted_5.json,5000,0.05,A,2.83,0.0
sorting_near_sorted_5.json,5000,0.05,B,3.39,0.0
sorting_near_sorted_5.json,5000,0.05,C,0.29,0.0
sorting_near_sorted_6.json,5000,0.1,A,2.99,0.0
sorting_near_sorted_6.json,5000,0.1,B,3.33,0.0
sorting_near_sorted_6.json,5000,0.1,C,0.33,0.0
sorting_near_sorted_7.json,20000,0.02,A,12.47,0.0
sorting_near_sorted_7.json,20000,0.02,B,14.13,0.0
sorting_near_sorted_7.json,20000,0.02,C,1.07,0.0
sorting_near_sorted_8.json,20000,0.05,A,12.58,0.0
sorting_near_sorted_8.json,20000,0.05,B,14.13,0.0
sorting_near_sorted_8.json,20000,0.05,C,1.12,0.0
sorting_near_sorted_9.json,20000,0.1,A,13.63,0.0
sorting_near_sorted_9.json,20000,0.1,B,14.52,0.0
sorting_near_sorted_9.json,20000,0.1,C,1.42,0.0
